County,AG.BobFerguson,AG.ReaganDunn,Auditor.JamesWatkins,Auditor.TroyKelley,CommPubLand.ClintDidier,CommPubLand.PeterGoldmark,Govnr.JayInslee,Govnr.RobMcKenna,Init1185.No,Init1185.Yes,Init1240.No,Init1240.Yes,Init502.No,Init502.Yes,Init74.Approved,Init74.Rejected,InsCommiss.JohnAdams,InsCommiss.MikeKreidler,JR8221.Approved,JR8221.Rejected,JR8223.Approved,JR8223.Rejected,LtGovnr.BillFinkbeiner,LtGovnr.BradOwen,President.BarackObama,President.Mitt Romney,SecOfState.KathleenDrew,SecOfState.KimWyman,Senator.MariaCantwell,Senator.MichaelBaumgartner,Trsr.JimMcIntire,Trsr.SharonHanek,WSA1.Maintained,WSA1.Repealed,WSA2.Maintained,WSA2.Repealed
San Juan,65.913,34.087,35.1288,64.8712,30.1131,69.8869,64.8169,35.1831,49.7554,50.2446,55.7844,44.2156,31.7134,68.2866,71.1605,28.8395,31.363,68.637,65.6533,34.3467,45.1133,54.8867,37.9207,62.0793,67.2551,29.3657,62.973,37.027,70.3714,29.6286,68.1252,31.8748,55.0839,44.9161,50.9105,49.0895
Skagit,50.4262,49.5738,51.1505,48.8495,46.0881,53.9119,47.3254,52.6746,33.7754,66.2246,50.3435,49.6565,45.3992,54.6008,50.2275,49.7725,45.6494,54.3506,60.4823,39.5177,41.7477,58.2523,49.2055,50.7945,51.9061,45.3618,46.2356,53.7644,56.1749,43.8251,54.3633,45.6367,38.8909,61.1091,41.1432,58.8568
Skamania,47.7811,52.2189,53.247,46.753,49.0484,50.9516,45.9159,54.0841,30.2357,69.7643,47.4528,52.5472,46.7371,53.2629,45.1757,54.8243,50.9998,49.0002,60.1357,39.8643,35.1007,64.8993,51.1555,48.8445,48.079,49.1584,46.3352,53.6648,53.1338,46.8662,51.6732,48.3268,33.9394,66.0606,36.2996,63.7004
Snohomish,54.2782,45.7218,47.1891,52.8109,41.8398,58.1602,51.233,48.767,33.2397,66.7603,46.7984,53.2016,45.4117,54.5883,52.9724,47.0276,41.5844,58.4156,65.7642,34.2358,42.2737,57.7263,44.6432,55.3568,57.1578,40.3302,50.2458,49.7542,60.4988,39.5012,58.1742,41.8258,40.4882,59.5118,42.0712,57.9288
Spokane,43.402,56.598,55.9373,44.0627,48.326,51.674,43.4914,56.5086,29.8573,70.1427,50.1355,49.8645,47.848,52.152,44.3417,55.6583,51.857,48.143,64.2148,35.7852,39.6425,60.3575,52.6833,47.3167,45.7021,51.5056,41.8954,58.1046,49.9231,50.0769,49.5494,50.4506,37.2194,62.7806,38.4426,61.5574
Stevens,34.2757,65.7243,65.5697,34.4303,60.1967,39.8033,33.7853,66.2147,24.0066,75.9934,52.8366,47.1634,53.4684,46.5316,31.3587,68.6413,62.9122,37.0878,58.7969,41.2031,29.5222,70.4778,62.9616,37.0384,35.0255,61.7797,32.4517,67.5483,39.214,60.786,38.11,61.89,29.0048,70.9952,31.0556,68.9444
Thurston,56.1325,43.8675,45.4247,54.5753,39.0206,60.9794,53.753,46.247,40.2595,59.7405,49.8137,50.1863,44.3078,55.6922,56.0688,43.9312,36.4025,63.5975,63.4724,36.5276,42.7353,57.2647,41.5823,58.4177,58.2679,38.7894,41.6017,58.3983,62.8161,37.1839,61.7617,38.2383,45.6509,54.3491,46.2759,53.7241
Wahkiakum,49.2992,50.7008,53.7598,46.2402,48.8305,51.1695,42.8254,57.1746,32.3612,67.6388,55.8279,44.1721,51.4641,48.5359,42.4406,57.5594,48.303,51.697,58.3248,41.6752,35.6158,64.3842,48.0697,51.9303,47.6896,48.7794,44.2615,55.7385,55.3201,44.6799,53.5988,46.4012,31.7581,68.2419,33.2827,66.7173
Walla Walla,35.5554,64.4446,62.9596,37.0404,58.6376,41.3624,38.0342,61.9658,30.0063,69.9937,50.2373,49.7627,55.0419,44.9581,39.6553,60.3447,57.992,42.008,64.5485,35.4515,40.115,59.885,58.9243,41.0757,38.9039,58.34,35.3938,64.6062,46.4487,53.5513,45.3321,54.6679,37.211,62.789,39.5628,60.4372
Whatcom,54.8021,45.1979,46.7798,53.2202,42.7128,57.2872,53.1004,46.8996,39.5811,60.4189,51.502,48.498,43.1496,56.8504,55.0786,44.9214,43.3497,56.6503,66.3679,33.6321,48.9892,51.0108,48.1524,51.8476,55.4106,41.4476,51.6791,48.3209,59.4883,40.5117,56.7094,43.2906,44.8105,55.1895,46.079,53.921
Whitman,44.5514,55.4486,55.9539,44.0461,47.1844,52.8156,43.829,56.171,38.1893,61.8107,54.9864,45.0136,48.0132,51.9868,50.6633,49.3367,51.3501,48.6499,62.796,37.204,45.0238,54.9762,53.1312,46.8687,46.9424,49.6875,42.3425,57.6575,49.7655,50.2345,50.5562,49.4438,45.2557,54.7443,48.4351,51.5649
Yakima,38.4601,61.5399,58.2836,41.7164,55.1219,44.8781,41.6669,58.3331,30.4365,69.5635,48.4725,51.5275,57.8086,42.1914,36.3581,63.6419,53.787,46.213,64.5004,35.4996,40.3631,59.6369,51.4095,48.5905,43.1541,54.8751,39.6293,60.3707,50.0452,49.9548,48.3322,51.6678,32.4145,67.5855,35.8203,64.1797
